"kbaName"	"area_ha"	"status"	"ratioOfTotal"	"ecoSpeciesID"	"areaNat"	"ratioOfTotalNat"	"ratioOfTotalNatKBA"	"ecoSpecies"	"BIOL4ID"	"RLEStatus"	"isTrigger"
"Silhouette National Park"	2	"National Park"	66.7	"20230109153757"	2	69	69	"Seychelles cliff of the tropical lower montane perhumid life zone (EN)"	"BIO-T9.2.2"	""	" B4 B4n"
"Morne Seychellois National Park"	0.9	"National Park"	30	"20230109153757"	0.9	31	31	"Seychelles cliff of the tropical lower montane perhumid life zone (EN)"	"BIO-T9.2.2"	""	" B4 B4n"
"Montagne Planneau proposed National Park"	0	"Proposed extension"	0	"20230109153757"	0	0	0	"Seychelles cliff of the tropical lower montane perhumid life zone (EN)"	"BIO-T9.2.2"	""	""
"Silhouette National Park"	1.4	"National Park"	38.9	"20230109150738"	1.4	56	56	"Seychelles cliff of the tropical lowland perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	" B4 B4n"
"Curieuse National Park"	0.9	"National Park"	25	"20230109150738"	0.8	32	32	"Seychelles cliff of the tropical lowland perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	" B4 B4n"
"Montagne Planneau proposed National Park"	0.5	"Proposed extension"	13.9	"20230109150738"	0.3	12	12	"Seychelles cliff of the tropical lowland perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	""
"Fond Azore-Fond Ferdinand proposed Ecological Reserve"	0	"Proposed extension"	0	"20230109150738"	0	0	0	"Seychelles cliff of the tropical lowland perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	""
"Parc National Marin de l'Ile Curieuse"	0	"National Park"	0	"20230109150738"	0	0	0	"Seychelles cliff of the tropical lowland perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	""
"Morne Seychellois National Park"	1.6	"National Park"	50	"20230109151030"	0.7	31.8	31.8	"Seychelles cliff of the tropical submontane perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	" B4 B4n"
"Silhouette National Park"	1.2	"National Park"	37.5	"20230109151030"	1.2	54.5	54.5	"Seychelles cliff of the tropical submontane perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	" B4 B4n"
"Montagne Planneau proposed National Park"	0.5	"Proposed extension"	15.6	"20230109151030"	0.3	13.6	13.6	"Seychelles cliff of the tropical submontane perhumid life zone (EN)"	"BIO-T8.3.2"	"DD(-CR)"	""
"Curieuse National Park"	54.7	"National Park"	6.7	"20230109170934"	5.5	18.5	20.4	"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	""
"Ile du Nord"	28.6	"Other KBA"	3.5	"20230109170934"				"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	
"Silhouette National Park"	25.4	"National Park"	3.1	"20230109170934"	9.7	32.6	35.9	"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	" B4n"
"Fond Diable-Anse Volbert plateau"	16.3	"Proposed extension"	2	"20230109170934"	0.1	0.3	0.4	"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	""
"Morne Seychellois National Park"	16.3	"National Park"	2	"20230109170934"	3.1	10.4	11.5	"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	""
"Sainte Anne"	13.1	"Proposed extension"	1.6	"20230109170934"				"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	
"Frégate"	10.8	"Proposed extension"	1.3	"20230109170934"				"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	
"Au Morne Southern slopes"	7.8	"Other KBA"	1	"20230109170934"				"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	
"Cousin island Special Reserve"	7.6	"Reserve-Special Reserve"	0.9	"20230109170934"				"Seychelles coastal backshore beach forest of the tropical lowland perhumid life zone (EN)"	"BIO-MT1.1.1"	""	
