"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesReference"	"ecoSpeciesReferencePage"	"ecoSpeciesReferenceID"	"ecoSpeciesDate"	"ecoSpeciesBiotype"	"ecoSpeciesAuthor"	"ecoSpeciesEN"	"ecoSpeciesFR"	"ecoSpeciesENFR"	"synof_ecoSpeciesID"	"synof_ecoSpecies"	"synof_ecoSpeciesBiotype"	"nomenclaturalStatus"	"IUCNL3ID"	"IUCNL3"	"BIOL4ID"	"BIOL4"	"BIOL4Ordering"	"lifeZone"	"ecoOrder"	"ecoFamily"	"ecoGenus"	"ecoGenusOrdering"	"RLEStatus"
"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191003-0945-34b"	"Senterre, Bruno"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"aa-Active Valid"	"T3.4"	"T3.4 Rocky pavements, screes and lava flows"	"BIO-T9.2.1"	"T9.2.1 Tropical-subtropical montane sparsely vegetated rock outcrop and rock pavements"	104	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Bare rock"	"Ultramafic rock"	100	""
"20200506131723"	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	""	"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-1046-384"	"Schnell, Raymond"	""	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"	"T3.4"	"T3.4 Rocky pavements, screes and lava flows"	"BIO-T9.2.1"	"T9.2.1 Tropical-subtropical montane sparsely vegetated rock outcrop and rock pavements"	104	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Bare rock"	"Ultramafic rock"	100	""
"20200506130741"	"Groupements lichéniques (FR)"	""	"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-0445-383"	"Schnell, Raymond"	""	"Groupements lichéniques (FR)"	"Groupements lichéniques (FR)"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"	"T3.4"	"T3.4 Rocky pavements, screes and lava flows"	"BIO-T9.2.1"	"T9.2.1 Tropical-subtropical montane sparsely vegetated rock outcrop and rock pavements"	104	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Bare rock"	"Ultramafic rock"	100	""
"20200506131903"	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Golder (2013)"	"17"	""	2012-12-31	"Golder-20130101-1606-17"	"Golder"	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Rock outcrop (EN)"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"	"T3.4"	"T3.4 Rocky pavements, screes and lava flows"	"BIO-T9.2.1"	"T9.2.1 Tropical-subtropical montane sparsely vegetated rock outcrop and rock pavements"	104	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Bare rock"	"Ultramafic rock"	100	""
"20200811143726"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"20"	"https://doi.org/10.13140/RG.2.2.17934.89924"	2020-08-10	"20200811145852"	"Senterre, Bruno"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200811143726"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200811145852"	"aa-Active Valid"	"MT2.1"	"MT2.1 Coastal shrublands and grasslands"	"BIO-MFT8.1.1"	"MFT8.1.1 Tropical-subtropical coastal progressive or hyperhaline mangrove shrublands"	284	"Tropical lowland superhumid"	"Coastal backshore extratidal wetland"	"Coastal backshore hyperhaline dwarf mangrove"	"Coastal backshore hyperhaline dwarf mangrove forest"		""
"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"22"	"https://doi.org/10.13140/RG.2.2.17934.89924"	2020-08-06	"20200807164404"	"Senterre, Bruno"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"aa-Active Valid"	"MFT1.2"	"MFT1.2 Intertidal forests and shrublands"	"BIO-MFT6.1.3"	"MFT6.1.3 Tropical-subtropical tidal-estuarine mangroves"	274	"Tropical lowland superhumid"	"Coastal backshore tidal estuarine wetland"	"Coastal backshore tidal estuarine mangrove"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	19	""
"20200807164046"	"Mangrove Forest (EN)"	""	"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	1964-12-31	"20200807164933"	"Voorhoeve, Alexander George"	"Mangrove Forest (EN)"	""	"Mangrove Forest (EN)"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"bb-Heterotypic names"	"MFT1.2"	"MFT1.2 Intertidal forests and shrublands"	"BIO-MFT6.1.3"	"MFT6.1.3 Tropical-subtropical tidal-estuarine mangroves"	274	"Tropical lowland superhumid"	"Coastal backshore tidal estuarine wetland"	"Coastal backshore tidal estuarine mangrove"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	19	""
"20200820101059"	"Southern Upper Guinea Mangrove Forests (EN)"	""	"Abell (2008)"	"512"	"https://doi.org/10.1641/B580507"	2008-04-30	"20200820100727"	"Abell, Robin"	"Southern Upper Guinea Mangrove Forests (EN)"	""	"Southern Upper Guinea Mangrove Forests (EN)"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"bb-Heterotypic names"	"MFT1.2"	"MFT1.2 Intertidal forests and shrublands"	"BIO-MFT6.1.3"	"MFT6.1.3 Tropical-subtropical tidal-estuarine mangroves"	274	"Tropical lowland superhumid"	"Coastal backshore tidal estuarine wetland"	"Coastal backshore tidal estuarine mangrove"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	19	""
"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191003-0946-34c"	"Senterre, Bruno"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0946-34c"	"aa-Active Valid"	"T3.4"	"T3.4 Rocky pavements, screes and lava flows"	"BIO-T9.2.1"	"T9.2.1 Tropical-subtropical montane sparsely vegetated rock outcrop and rock pavements"	104	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Bare rock"	"Ironstone rock"	94	""
"20200506132258"	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	""	"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-1706-383"	"Schnell, Raymond"	""	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0946-34c"	"bb-Heterotypic names"	"T3.4"	"T3.4 Rocky pavements, screes and lava flows"	"BIO-T9.2.1"	"T9.2.1 Tropical-subtropical montane sparsely vegetated rock outcrop and rock pavements"	104	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Bare rock"	"Ironstone rock"	94	""
"20200505133130"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Ravine forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"44"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191004-1426-44"	"Senterre, Bruno"	"West African Ravine forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Ravine forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"20200505133130"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1426-44"	"aa-Active Valid"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.1"	"T1.1.1 Tropical-subtropical lowland superhumid rain forests"	1	"Tropical lowland humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505133514"	"Forêt mésophile vallicole à Chidlovia sanguinea (FR)"	""	"Schnell (1952)"	"371"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-1022-371"	"Schnell, Raymond"	""	"Forêt mésophile vallicole à Chidlovia sanguinea (FR)"	"Forêt mésophile vallicole à Chidlovia sanguinea (FR)"	"20200505133130"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1426-44"	"bb-Heterotypic names"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.1"	"T1.1.1 Tropical-subtropical lowland superhumid rain forests"	1	"Tropical lowland humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505162321"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Ravine forest of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"50"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191003-1046-37"	"Senterre, Bruno"	"West African Ravine forest of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Ravine forest of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"20200505162321"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"BS61-20191003-1046-37"	"aa-Active Valid"	"T1.3"	"T1.3 Tropical-subtropical montane rainforests"	"BIO-T2.1.1"	"T2.1.1 Tropical-subtropical lower montane superhumid rain forests"	12	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200506073647"	"Forêt dense guinéenne mi-haute de haute montagne des ravins (FR)"	""	"Aussel (2018)"	"31132"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	2018-12-10	"Aussel-20181211-1511-31132"	"Aussel, Alexia"	""	"Forêt dense guinéenne mi-haute de haute montagne des ravins (FR)"	"Forêt dense guinéenne mi-haute de haute montagne des ravins (FR)"	"20200505162321"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"BS61-20191003-1046-37"	"bb-Heterotypic names"	"T1.3"	"T1.3 Tropical-subtropical montane rainforests"	"BIO-T2.1.1"	"T2.1.1 Tropical-subtropical lower montane superhumid rain forests"	12	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200506073503"	"Forêt montagnarde à Parinari excelsa des ravins supérieurs (=forêts hautes des thalwegs) (FR)"	""	"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-0058-384"	"Schnell, Raymond"	""	"Forêt montagnarde à Parinari excelsa des ravins supérieurs (=forêts hautes des thalwegs) (FR)"	"Forêt montagnarde à Parinari excelsa des ravins supérieurs (=forêts hautes des thalwegs) (FR)"	"20200505162321"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"BS61-20191003-1046-37"	"bb-Heterotypic names"	"T1.3"	"T1.3 Tropical-subtropical montane rainforests"	"BIO-T2.1.1"	"T2.1.1 Tropical-subtropical lower montane superhumid rain forests"	12	"Tropical lower montane humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505153713"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Ravine forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"48"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191005-1054-56"	"Senterre, Bruno"	"West African Ravine forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Ravine forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"20200505153713"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"BS61-20191005-1054-56"	"aa-Active Valid"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.4"	"T1.1.4 Tropical-subtropical submontane rain forests"	4	"Tropical submontane humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505154657"	"Forêt galerie marécageuse sur sol hydromorphe de montagne (FR)"	""	"Aussel (2018)"	"3133"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	2018-12-10	"Aussel-20181211-2246-3133"	"Aussel, Alexia"	""	"Forêt galerie marécageuse sur sol hydromorphe de montagne (FR)"	"Forêt galerie marécageuse sur sol hydromorphe de montagne (FR)"	"20200505153713"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"BS61-20191005-1054-56"	"bb-Heterotypic names"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.4"	"T1.1.4 Tropical-subtropical submontane rain forests"	4	"Tropical submontane humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505153951"	"Forêt mésophile à Parinari excelsa, Chidlovia sanguinea et Carapa procera (FR)"	""	"Schnell (1952)"	"371"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-2309-371"	"Schnell, Raymond"	""	"Forêt mésophile à Parinari excelsa, Chidlovia sanguinea et Carapa procera (FR)"	"Forêt mésophile à Parinari excelsa, Chidlovia sanguinea et Carapa procera (FR)"	"20200505153713"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"BS61-20191005-1054-56"	"bb-Heterotypic names"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.4"	"T1.1.4 Tropical-subtropical submontane rain forests"	4	"Tropical submontane humid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200503122437"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Ravine forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"36"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191015-1225-82"	"Senterre, Bruno"	"West African Ravine forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Ravine forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"20200503122437"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"BS61-20191015-1225-82"	"aa-Active Valid"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.1"	"T1.1.1 Tropical-subtropical lowland superhumid rain forests"	1	"Tropical lowland perhumid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
