"ecoSpeciesID"	"index"	"value"	"units"
"20230109175101"	"nOcc"	0	"Number of occurrences"
"20230109175101"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109171641"	"nOcc"	1	"Number of occurrences"
"20230109171641"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109171641"	"Total area"	0.2	"ha"
"20230109171641"	"Total area in natural state"	0	"ha"
"20230109171641"	"Total area protected"	0	"ha"
"20230109171641"	"Total area in natural state & protected"	0	"ha"
"20230109171922"	"nOcc"	0	"Number of occurrences"
"20230109171922"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109170934"	"nOcc"	1	"Number of occurrences"
"20230109170934"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109170934"	"AOO2km"	93	"2km grid cells"
"20230109170934"	"AOO10km"	18	"10km grid cells"
"20230109170934"	"EOO"	3525.3	"km2"
"20230109170934"	"AOO2kmNat"	21	"2km grid cells"
"20230109170934"	"AOO10kmNat"	9	"10km grid cells"
"20230109170934"	"EOONat"	2513.3	"km2"
"20230109170934"	"Total area"	463.6	"ha"
"20230109170934"	"Total area in natural state"	29.5	"ha"
"20230109170934"	"Total area protected"	99.9	"ha"
"20230109170934"	"Total area in natural state & protected"	21.7	"ha"
"20230109151756"	"nOcc"	0	"Number of occurrences"
"20230109151756"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109153956"	"nOcc"	0	"Number of occurrences"
"20230109153956"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109153757"	"nOcc"	0	"Number of occurrences"
"20230109153757"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109153757"	"AOO2km"	3	"2km grid cells"
"20230109153757"	"AOO10km"	2	"10km grid cells"
"20230109153757"	"EOO"	40.4	"km2"
"20230109153757"	"AOO2kmNat"	3	"2km grid cells"
"20230109153757"	"AOO10kmNat"	2	"10km grid cells"
"20230109153757"	"EOONat"	40.4	"km2"
"20230109153757"	"Total area"	3	"ha"
"20230109153757"	"Total area in natural state"	2.9	"ha"
"20230109153757"	"Total area protected"	2.9	"ha"
"20230109153757"	"Total area in natural state & protected"	2.9	"ha"
"20230109150738"	"nOcc"	0	"Number of occurrences"
"20230109150738"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109150738"	"AOO2km"	6	"2km grid cells"
"20230109150738"	"AOO10km"	4	"10km grid cells"
"20230109150738"	"EOO"	865.9	"km2"
"20230109150738"	"AOO2kmNat"	3	"2km grid cells"
"20230109150738"	"AOO10kmNat"	3	"10km grid cells"
"20230109150738"	"EOONat"	859.5	"km2"
"20230109150738"	"Total area"	3.6	"ha"
"20230109150738"	"Total area in natural state"	2.5	"ha"
"20230109150738"	"Total area protected"	2.3	"ha"
"20230109150738"	"Total area in natural state & protected"	2.2	"ha"
"20230109151030"	"nOcc"	0	"Number of occurrences"
"20230109151030"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109151030"	"AOO2km"	2	"2km grid cells"
"20230109151030"	"AOO10km"	2	"10km grid cells"
"20230109151030"	"EOO"	0.3	"km2"
"20230109151030"	"Total area"	3.2	"ha"
"20230109151030"	"Total area in natural state"	2.2	"ha"
"20230109151030"	"Total area protected"	2.8	"ha"
"20230109151030"	"Total area in natural state & protected"	1.9	"ha"
"20230109171313"	"nOcc"	2	"Number of occurrences"
"20230109171313"	"nOccNat"	2	"Number of occurrences in natural state"
"20230109171313"	"AOO2km"	2	"2km grid cells"
"20230109171313"	"AOO10km"	2	"10km grid cells"
"20230109171313"	"EOO"	0	"km2"
"20230109171313"	"AOO2kmNat"	2	"2km grid cells"
"20230109171313"	"AOO10kmNat"	2	"10km grid cells"
"20230109171313"	"EOONat"	0	"km2"
"20230109171313"	"Total area"	0.4	"ha"
"20230109171313"	"Total area in natural state"	0.4	"ha"
"20230109171313"	"Total area protected"	0.4	"ha"
"20230109171313"	"Total area in natural state & protected"	0.4	"ha"
"20230109142828"	"nOcc"	6	"Number of occurrences"
"20230109142828"	"nOccNat"	6	"Number of occurrences in natural state"
"20230109142828"	"AOO2km"	15	"2km grid cells"
"20230109142828"	"AOO10km"	5	"10km grid cells"
"20230109142828"	"EOO"	104.5	"km2"
"20230109142828"	"AOO2kmNat"	13	"2km grid cells"
"20230109142828"	"AOO10kmNat"	5	"10km grid cells"
"20230109142828"	"EOONat"	104.5	"km2"
"20230109142828"	"Total area"	142.3	"ha"
"20230109142828"	"Total area in natural state"	107.4	"ha"
"20230109142828"	"Total area protected"	103.5	"ha"
"20230109142828"	"Total area in natural state & protected"	78.4	"ha"
"20230109142532"	"nOcc"	0	"Number of occurrences"
"20230109142532"	"nOccNat"	0	"Number of occurrences in natural state"
"20230109142532"	"AOO2km"	1	"2km grid cells"
"20230109142532"	"AOO10km"	2	"10km grid cells"
"20230109142532"	"EOO"	0.2	"km2"
"20230109142532"	"AOO2kmNat"	1	"2km grid cells"
"20230109142532"	"AOO10kmNat"	2	"10km grid cells"
"20230109142532"	"EOONat"	0.2	"km2"
"20230109142532"	"Total area"	5.7	"ha"
"20230109142532"	"Total area in natural state"	5.6	"ha"
"20230109142532"	"Total area protected"	5.7	"ha"
"20230109142532"	"Total area in natural state & protected"	5.6	"ha"
"20230109135134"	"nOcc"	14	"Number of occurrences"
"20230109135134"	"nOccNat"	12	"Number of occurrences in natural state"
"20230109135134"	"AOO2km"	105	"2km grid cells"
