"ecoSpeciesID"	"AreaTotPre_ha"	"nOcc"	"nOccNat"	"AreaTot_ha"	"AreaTotNat_ha"	"AreaTotPA_ha"	"AreaTotNatPA_ha"	"AOO2km"	"AOO10km"	"EOO"	"AOO2kmNat"	"AOO10kmNat"	"EOONat"	"RLEStatus"	"ratioNat"	"ratioPre"	"ratioPreNat"	"ratioPA"
"20230109134232"	180.9	15	8	159.7	27.7	84.2	21	29	7	1102.3	14	5	1053.3	"CR"	17.3	88.3	15.3	52.7
"20230109134446"	2542.8	10	8	2001	352	1024.1	281.6	37	11	1688	20	8	1373.5	"CR"	17.6	78.7	13.8	51.2
"20230109135134"	560.7	14	12	569.1	252.1	242.2	144	102	18	3511.4	46	12	2590.2	"EN"	44.3	101.5	45	42.6
"20230109135843"	285.4	11	11	290.1	145	132.5	74.2	34	7	1258.1	22	7	1123	"CR(-EN)"	50	101.6	50.8	45.7
"20230109140944"	0	1	1	0.2	0.2	0.2	0.2	1	1	0				""	100	Inf	Inf	100
"20230109141316"	27.5	4	4	27.8	10.5	21.6	8.7	9	4	51.8	8	4	38.9	"CR"	37.8	101.1	38.2	77.7
"20230109141850"	32.6	8	2	33.2	32.3	33.2	32.3	1	1	0.4	1	1	0.4	""	97.3	101.8	99.1	100
"20230109142217"	795.5	15	10	738.2	334.9	465.4	216.5	16	4	89.3	14	4	85.1	"CR"	45.4	92.8	42.1	63
"20230109142532"	5.7	0	0	5.7	5.6	5.7	5.6	1	1	0.2	1	1	0.2	""	98.2	100	98.2	100
"20230109142828"	140	6	6	142.3	107.4	103.5	78.4	17	5	109.1	16	5	109.1	"CR"	75.5	101.6	76.7	72.7
"20230109143154"	828.6	7	7	840.7	371.9	251.8	166.4	97	19	3531.3	44	12	2581.8	"EN"	44.2	101.5	44.9	30
"20230109143728"	145	3	2	146.9	110.7	96.9	82.3	31	10	1774.9	21	8	1456.1	"CR(-EN)"	75.4	101.3	76.3	66
"20230109144220"	0	0	0	2449.9	0	245.8	0	99	18	3466.7				""	0	Inf		10
"20230109144509"	1.7	0	0	1.7	1.7	1.7	1.7	1	1	0	1	1	0	""	100	100	100	100
"20230109145003"	22.4	1	1	22.9	19.4	18.7	16.8	10	5	89.1	8	5	89.1	"CR(-LC)"	84.7	102.2	86.6	81.7
"20230109145420"	0	0	0	414.3	0	12.3	0	76	13	2893.1				""	0	Inf		3
"20230109145718"	689.4	0	0	697.2	289.4	283.4	208.6	102	20	3435.8	35	13	2116.4	"LC"	41.5	101.1	42	40.6
"20230109150056"	132.4	0	0	133.7	82	75.6	53.7	34	8	1304.2	23	7	1304.2	"LC"	61.3	101	61.9	56.5
"20230109150738"	3.6	0	0	3.6	2.5	2.3	2.2	4	3	750.5	3	2	8.4	"DD(-CR)"	69.4	100	69.4	63.9
"20230109151030"	3.2	0	0	3.2	2.2	2.8	1.9	4	3	58.8	3	3	58.2	"DD(-CR)"	68.8	100	68.8	87.5
"20230109151440"	0	0	0	68.8	0.4	11.6	0	23	6	1598.1				""	0.6	Inf	Inf	16.9
"20230109152202"	0.9	0	0	0.9	0.9	0.9	0.9							""	100	100	100	100
