"ecoSpeciesID"	"index"	"value"	"units"
"20230109134232"	"Total area in prehuman state"	180.9	"ha"
"20230109134446"	"Total area in prehuman state"	2542.8	"ha"
"20230109135134"	"Total area in prehuman state"	560.7	"ha"
"20230109135843"	"Total area in prehuman state"	285.4	"ha"
"20230109140944"	"Total area in prehuman state"	0	"ha"
"20230109141316"	"Total area in prehuman state"	27.5	"ha"
"20230109141850"	"Total area in prehuman state"	32.6	"ha"
"20230109142217"	"Total area in prehuman state"	795.5	"ha"
"20230109142532"	"Total area in prehuman state"	5.7	"ha"
"20230109142828"	"Total area in prehuman state"	140	"ha"
"20230109143154"	"Total area in prehuman state"	828.6	"ha"
"20230109143728"	"Total area in prehuman state"	145	"ha"
"20230109144220"	"Total area in prehuman state"	0	"ha"
"20230109144509"	"Total area in prehuman state"	1.7	"ha"
"20230109145003"	"Total area in prehuman state"	22.4	"ha"
"20230109145420"	"Total area in prehuman state"	0	"ha"
"20230109145718"	"Total area in prehuman state"	689.4	"ha"
"20230109150056"	"Total area in prehuman state"	132.4	"ha"
"20230109150738"	"Total area in prehuman state"	3.6	"ha"
"20230109151030"	"Total area in prehuman state"	3.2	"ha"
"20230109151440"	"Total area in prehuman state"	0	"ha"
"20230109152202"	"Total area in prehuman state"	0.9	"ha"
"20230109152402"	"Total area in prehuman state"	68.7	"ha"
"20230109153757"	"Total area in prehuman state"	2.9	"ha"
"20230109154233"	"Total area in prehuman state"	90	"ha"
"20230109154458"	"Total area in prehuman state"	15.2	"ha"
"20230109154938"	"Total area in prehuman state"	1.7	"ha"
"20230109160019"	"Total area in prehuman state"	0	"ha"
"20230109160925"	"Total area in prehuman state"	0.1	"ha"
"20230109161047"	"Total area in prehuman state"	0.4	"ha"
"20230109161912"	"Total area in prehuman state"	0.2	"ha"
"20230109162125"	"Total area in prehuman state"	0.9	"ha"
"20230109162437"	"Total area in prehuman state"	0.1	"ha"
"20230109165004"	"Total area in prehuman state"	13.2	"ha"
"20230109165249"	"Total area in prehuman state"	0	"ha"
"20230109170934"	"Total area in prehuman state"	2802.7	"ha"
"20230109172454"	"Total area in prehuman state"	196.7	"ha"
"20230109173130"	"Total area in prehuman state"	245.9	"ha"
"20230109173629"	"Total area in prehuman state"	172.7	"ha"
