"kbaName"	"taxonID"	"scientificName"	"nKBA"	"n"	"ratio"	"vernacularName"	"species_short"	"establishmentMeansNat"	"threatStatusNat"	"threatStatusGlobal"	"isTrigger"
"Aldabra"	"012f8a27-01ae-4af1-abdb-7ba3d5ddcac0"	"Peponium sublitorale C.Jeffrey & J.S.Page"	1	5	20	"Vatang"	"Peponium sublitorale "	"nativeEndemic"	"CR"	""	" A2an B4"
"Aldabra"	"027ef277-f47b-4210-8148-02b20375d230"	"Ceriops tagal (Perr.) C.B.Rob."	1	8	12.5	"Manglier giroflier, Manglier jaune, Mangliye zerof, Mangliye zonn, Mangrove"	"Ceriops tagal "	"native"	"LC"	"LC"	""
"Aldabra"	"02bcad85-385a-49a1-b1b7-288b7b8ed5f5"	"Bambusa vulgaris Schrad. ex J.C.Wendl."	1	40	2.5						""
"Aldabra"	"04b96f77-b16e-4cb7-89fb-98aaaea269f0"	"Grewia picta Baill."	1	1	100	""	"Grewia picta "	"native"	"VU"	"LC"	" A2bn B4"
"Aldabra"	"0570a022-cf82-45b0-9f0f-df6f5a438fc9"	"Capsicum frutescens L."	1	14	7.1						""
"Aldabra"	"07895a41-7aa0-4b68-8c69-fab2c5c05f15"	"Phyllanthus amarus Schumach. & Thonn."	1	27	3.7						""
"Aldabra"	"079a33d5-4227-4862-8680-aa1d4974d293"	"Amaranthus dubius Mart. ex Thell."	1	22	4.5						""
"Aldabra"	"0acfbbc5-7b45-449b-a9a0-31df2f9003a1"	"Datura metel L."	1	18	5.6						""
"Aldabra"	"0b3e628b-72c9-4fd9-a4f2-228908a9907e"	"Gymnosporia senegalensis (Lam.) Loes."	4	7	57.1	""	"Gymnosporia senegalensis "	"native"	""	"LC"	" B4"
"Aldabra"	"0c0a5d3c-dbc0-484a-8730-7ffffb4897fb"	"Mystroxylon aethiopicum (Thunb.) Loes."	4	6	66.7	"Bois la fumée, Bois moset, Bwa moze, Ti bane"	"Mystroxylon aethiopicum "	"native"	""	""	" B4"
"Aldabra"	"0d201a23-5fb6-486c-b519-6b733013bfac"	"Ocimum basilicum L."	1	6	16.7						""
"Aldabra"	"0ddfd2f4-7b55-4e36-8bbe-fc19ff41d4a6"	"Maillardia pendula Fosberg "	1	1	100	""	"Maillardia pendula "	"nativeEndemic"	"CR"	"CR"	"A2a A2an B4"
"Aldabra"	"0e897f5e-66f6-4cc3-8f24-f1884196e4f5"	"Nesogenes prostrata (Benth.) Hemsl."	2	5	40	""	"Nesogenes prostrata "	"native"	""	""	" B4"
"Aldabra"	"0ed7ef9c-11bb-4990-a85b-6bad315f14cc"	"Euphorbia prostrata Aiton"	1	24	4.2						""
"Aldabra"	"0ee54e7c-fa8a-404a-8aed-dda521130354"	"Laportea aestuans (L.) Chew"	1	8	12.5	"Stinging nettle, West Indian nettle, West Indian woodnettle"	"Laportea aestuans "	"native"	""	""	""
"Aldabra"	"0fcc12cb-33f6-452e-9e9a-99aacb376578"	"Lindernia benthamii Eb.Fisch., Schäferh. & Kai Müll."	1	1	100	""	"Lindernia benthamii "	"native"	""	""	" B4"
"Aldabra"	"106c6f86-2d48-46af-8f2a-62f115c43d89"	"Thespesia populneoides (Roxb.) Kostel."	1	6	16.7	"Bois de rose, Bwadroz, Bwa-d-roz"	"Thespesia populneoides "	"native"	""	""	""
"Aldabra"	"11f7dcb6-7ccf-42f9-9250-3a3cb3cc3866"	"Pandanus tectorius Parkinson ex Du Roi"	1	6	16.7						""
"Aldabra"	"142076cf-5581-4a70-a7ef-ecad237ac828"	"Senna occidentalis (L.) Link"	1	23	4.3						""
"Aldabra"	"16e50f9a-204d-421a-84f8-2bc53f2649ce"	"Chamaecrista aldabrensis (Hemsl.) F.Friedmann"	2	3	66.7	"Cassie"	"Chamaecrista aldabrensis "	"nativeEndemic"	"VU"	""	" A2bn B4"
