"occurrenceID"	"identificationID"	"identifiedBy"	"dateIdentified"	"kingdom"	"biotypeStatus"	"identificationRemarks"	"lifeZoneID"	"lifeZone"	"ecoOrderID"	"ecoOrder"	"ecoFamilyID"	"ecoFamily"	"ecoGenusID"	"ecoGenus"	"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesEN"	"ecoSpeciesFR"	"ecoSpeciesENFR"	"identificationReference"	"identificationReferencePage"	"identificationReferenceID"	"linktmp"	"checkLink"	"synof_ecoSpeciesID"	"synof_ecoSpecies"	"synof_ecoSpeciesBiotype"	"nomenclaturalStatus"
"BS61-20191003-0945-34b"	20200506	"Senterre, Bruno"	2019-12-31T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"BS61-20191003-0945-34b2019-12-31"	1	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"aa-Accepted name"
"Schnell-19520101-1046-384"	20200506	"Schnell, Raymond"	1952-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506131723"	"Groupement hélio-hygrophile à Panicum pusillum (FR)"		""	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"Schnell-19520101-1046-3841952-01-01"	1	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"
"Schnell-19520101-0445-383"	20200506	"Schnell, Raymond"	1952-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506130741"	"Groupements lichéniques (FR)"		""	"Groupements lichéniques (FR)"	"Groupements lichéniques (FR)"	"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"Schnell-19520101-0445-3831952-01-01"	1	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"
"Golder-20130101-1606-17"	20200506	"Golder"	2013-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506131903"	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Rock outcrop (EN)"	"Golder (2013)"	"17"		"Golder-20130101-1606-172013-01-01"	1	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"
"20200811145852"	20200811	"Senterre, Bruno"	2020-08-11T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"40"	"Coastal backshore extratidal wetland"	"4010"	"Coastal backshore hyperhaline dwarf mangrove"	"20190814-1651"	"Coastal backshore hyperhaline dwarf mangrove forest"	"20200811143726"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Senterre (2020)"	"20"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"202008111458522020-08-11"	1	"20200811143726"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200811145852"	"aa-Accepted name"
"20200807164404"	20200807	"Senterre, Bruno"	2020-08-07T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"50"	"Coastal backshore tidal estuarine wetland"	"5050"	"Coastal backshore tidal estuarine mangrove"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Senterre (2020)"	"22"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"202008071644042020-08-07"	1	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"aa-Accepted name"
"20200807164933"	20200807	"Voorhoeve, Alexander George"	1965-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"50"	"Coastal backshore tidal estuarine wetland"	"5050"	"Coastal backshore tidal estuarine mangrove"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	"20200807164046"	"Mangrove Forest (EN)"		"Mangrove Forest (EN)"	""	"Mangrove Forest (EN)"	"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"202008071649331965-01-01"	1	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"bb-Heterotypic names"
"20200820100727"	20200820	"Abell, Robin"	2008-05-01T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"50"	"Coastal backshore tidal estuarine wetland"	"5050"	"Coastal backshore tidal estuarine mangrove"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	"20200820101059"	"Southern Upper Guinea Mangrove Forests (EN)"		"Southern Upper Guinea Mangrove Forests (EN)"	""	"Southern Upper Guinea Mangrove Forests (EN)"	"Abell (2008)"	"512"	"https://doi.org/10.1641/B580507"	"202008201007272008-05-01"	1	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"bb-Heterotypic names"
"BS61-20191003-0946-34c"	20200506	"Senterre, Bruno"	2019-12-31T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"d87471a1-13e8-4aa4-bfa6-7f87979c1e6d"	"Ironstone rock"	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"BS61-20191003-0946-34c2019-12-31"	1	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0946-34c"	"aa-Accepted name"
"Schnell-19520101-1706-383"	20200506	"Schnell, Raymond"	1952-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"d87471a1-13e8-4aa4-bfa6-7f87979c1e6d"	"Ironstone rock"	"20200506132258"	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"		""	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"Schnell-19520101-1706-3831952-01-01"	1	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0946-34c"	"bb-Heterotypic names"
