"occurrenceID"	"identificationID"	"identifiedBy"	"dateIdentified"	"kingdom"	"biotypeStatus"	"identificationRemarks"	"lifeZoneID"	"lifeZone"	"ecoOrderID"	"ecoOrder"	"ecoFamilyID"	"ecoFamily"	"ecoGenusID"	"ecoGenus"	"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesEN"	"ecoSpeciesFR"	"ecoSpeciesENFR"	"identificationReference"	"identificationReferencePage"	"identificationReferenceID"	"synof_ecoSpeciesID"	"synof_ecoSpecies"	"synof_ecoSpeciesBiotype"	"nomenclaturalStatus"	"country"	"locality"	"decimalLatitude"	"decimalLongitude"	"verbatimElevation"	"recordedBy"	"recordNumber"	"eventDate"	"lastEidentidentifiedBy"	"lastEidentdateIdentified"
"BS61-20191003-0945-34b"	20200506	"Senterre, Bruno"	2019-12-31T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"aa-Accepted name"	"Guinea"	"Massif du Mont Nimba, près de la base géologique"	7.65805	-8.37396	"1560"	"Senterre, Bruno|Bidault, Ehoarn"	"BS61-34b"	2019-10-03	"Senterre, Bruno"	2019-12-31T00:00:00Z
"Schnell-19520101-1046-384"	20200506	"Schnell, Raymond"	1952-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506131723"	"Groupement hélio-hygrophile à Panicum pusillum (FR)"		""	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	"Groupement hélio-hygrophile à Panicum pusillum (FR)"	"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"	"Guinea"	"Mont Nimba"			""	"Schnell, Raymond"	"Schnell-195211-1046-384"	1952-01-01	"Senterre, Bruno"	2019-12-31T00:00:00Z
"Schnell-19520101-0445-383"	20200506	"Schnell, Raymond"	1952-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506130741"	"Groupements lichéniques (FR)"		""	"Groupements lichéniques (FR)"	"Groupements lichéniques (FR)"	"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"	"Guinea"	"Mont Nimba"			""	"Schnell, Raymond"	"Schnell-195211-445-383"	1952-01-01	"Senterre, Bruno"	2019-12-31T00:00:00Z
"Golder-20130101-1606-17"	20200506	"Golder"	2013-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"092d38f0-0be7-4640-91bc-627d1aa4fb24"	"Ultramafic rock"	"20200506131903"	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Rock outcrop (EN)"	"Golder (2013)"	"17"		"20200506124030"	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0945-34b"	"bb-Heterotypic names"	"Guinea"	"Mount Nimba"			""	"Golder"	"Golder-201311-166-17"	2013-01-01	"Senterre, Bruno"	2019-12-31T00:00:00Z
"20200811145852"	20200811	"Senterre, Bruno"	2020-08-11T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"40"	"Coastal backshore extratidal wetland"	"4010"	"Coastal backshore hyperhaline dwarf mangrove"	"20190814-1651"	"Coastal backshore hyperhaline dwarf mangrove forest"	"20200811143726"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Senterre (2020)"	"20"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"20200811143726"	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200811145852"	"aa-Accepted name"	"Liberia"	"Lake Piso, based on Google Earth"	6.718	-11.32825	"1"	"Senterre, Bruno"	"20200811145852"	2020-08-11	"Senterre, Bruno"	2020-08-11T00:00:00Z
"20200807164404"	20200807	"Senterre, Bruno"	2020-08-07T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"50"	"Coastal backshore tidal estuarine wetland"	"5050"	"Coastal backshore tidal estuarine mangrove"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Senterre (2020)"	"22"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"aa-Accepted name"	"Liberia"	"Lake Piso"	6.7965	-11.3573	""	"Senterre, Bruno"	"20200807164404"	2020-08-07	"Senterre, Bruno"	2020-08-07T00:00:00Z
"20200807164933"	20200807	"Voorhoeve, Alexander George"	1965-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"50"	"Coastal backshore tidal estuarine wetland"	"5050"	"Coastal backshore tidal estuarine mangrove"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	"20200807164046"	"Mangrove Forest (EN)"		"Mangrove Forest (EN)"	""	"Mangrove Forest (EN)"	"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"bb-Heterotypic names"	"Liberia"	"silty lagoons along the coast"			""	"Voorhoeve, Alexander George"	"20200807164933"	1965-01-01	"Senterre, Bruno"	2020-08-07T00:00:00Z
"20200820100727"	20200820	"Abell, Robin"	2008-05-01T00:00:00Z	"Plantae"	"holobiotype"		"20200804085240"	"Tropical lowland superhumid"	"50"	"Coastal backshore tidal estuarine wetland"	"5050"	"Coastal backshore tidal estuarine mangrove"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"Coastal backshore tidal estuarine backshore/sheltered mangrove forest"	"20200820101059"	"Southern Upper Guinea Mangrove Forests (EN)"		"Southern Upper Guinea Mangrove Forests (EN)"	""	"Southern Upper Guinea Mangrove Forests (EN)"	"Abell (2008)"	"512"	"https://doi.org/10.1641/B580507"	"20200807163951"	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"20200807164404"	"bb-Heterotypic names"	"Liberia"	"No location, based on maps"			""	"Abell, Robin"	"20200820100727"	2008-05-01	"Senterre, Bruno"	2020-08-20T00:00:00Z
"BS61-20191003-0946-34c"	20200506	"Senterre, Bruno"	2019-12-31T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"d87471a1-13e8-4aa4-bfa6-7f87979c1e6d"	"Ironstone rock"	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0946-34c"	"aa-Accepted name"	"Guinea"	"Massif du Mont Nimba, près de la base géologique"	7.65719	-8.37437	"1496"	"Senterre, Bruno|Bidault, Ehoarn"	"BS61-34c"	2019-10-03	"Senterre, Bruno"	2019-12-31T00:00:00Z
"Schnell-19520101-1706-383"	20200506	"Schnell, Raymond"	1952-01-01T00:00:00Z	"Plantae"	"holobiotype"		"20200422155340"	"Tropical lower montane humid"	"110"	"Inland (non-coastal) upland"	"11060"	"Bare rock"	"d87471a1-13e8-4aa4-bfa6-7f87979c1e6d"	"Ironstone rock"	"20200506132258"	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"		""	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"	"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"20200506132102"	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"BS61-20191003-0946-34c"	"bb-Heterotypic names"	"Guinea"	"Mont Nimba"			""	"Schnell, Raymond"	"Schnell-195211-176-383"	1952-01-01	"Senterre, Bruno"	2019-12-31T00:00:00Z
