"ecoOccurrenceID"	"identificationID"	"identifiedBy"	"dateIdentified"	"lifeZoneID"	"lifeZone"	"ecoOrderID"	"ecoOrder"	"ecoFamilyID"	"ecoFamily"	"ecoGenusID"	"ecoGenus"	"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"taxonRemarks"	"identificationReference"	"identificationReferencePage"	"identificationReferenceID"	"biotypeStatus"	"identificationRemarks"
"c5dfd96c-6011-412c-b10e-ea1f38539626"	"216"	"Senterre, Bruno"	2012-06-13	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"Tropical submontane humid"	110	"Inland (non-coastal) upland"	11100	"Ravine"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"	"Ravine forest"	20230109134232	"Seychelles ravine forest of the tropical submontane perhumid life zone (EN)"	"Forêt de ravin de la zone perhumide tropicale submontagnarde des Seychelles (FR)"	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c|Tropical submontane humid|110|Inland (non-coastal) upland|11100|Ravine|b2af9d95-4f12-40f3-ae6d-a1e193813a1a|Ravine forest|20230109134232|Seychelles ravine forest of the tropical submontane perhumid life zone (EN)|Forêt de ravin de la zone perhumide tropicale submontagnarde des Seychelles (FR)"				""	
"BS61-20191016-0828-84"	"2000"	"Senterre, Bruno"	2019-12-31	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200418143610	"Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200418143610|Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)|West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"35"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"holobiotype"	
"Schnell-19520101-0354-365"	"2001"	"Schnell, Raymond"	1952-01-01	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200420091605	"Forêt ombrophile de l'étage inférieur à Tarrietia utilis et Lophira procera (FR)"		"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200420091605|Forêt ombrophile de l'étage inférieur à Tarrietia utilis et Lophira procera (FR)|NA"	"Schnell (1952)"	"365"	"www.jstor.org/stable/20034533"	"holobiotype"	
"Golder-20130101-1917-1"	"2002"	"Golder"	2013-01-01	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200420092845	"Moist evergreen forest (EN)"	"Forêt humide sempervirente (FR)"	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200420092845|Moist evergreen forest (EN)|Forêt humide sempervirente (FR)"	"Golder (2013)"	""		"holobiotype"	
"Aussel-20181211-2033-31111"	"2003"	"Aussel, Alexia"	2018-12-11	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200420093826	"Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)"		"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200420093826|Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)|NA"	"Aussel (2018)"	"31111"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"holobiotype"	
"Schnell-19520101-0354-365"	"2004"	"Aussel, Alexia"	2018-12-11	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200420093826	"Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)"		"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200420093826|Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)|NA"				""	
"Golder-20130101-1917-1"	"2005"	"Aussel, Alexia"	2018-12-11	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200420093826	"Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)"		"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200420093826|Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière de basse altitude (<500m) (FR)|NA"				""	
"Schnell-19520101-0354-365"	"2006"	"Senterre, Bruno"	2019-12-31	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200418143610	"Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200418143610|Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)|West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"				""	
"Aussel-20181211-2033-31111"	"2007"	"Senterre, Bruno"	2019-12-31	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11010	"Mesic"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"Mesic forest"	20200418143610	"Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200418143610|Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)|West African mesic forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"				""	
"BS61-20191015-1225-82"	"20200503122927"	"Senterre, Bruno"	2019-12-31	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"Tropical lowland perhumid"	110	"Inland (non-coastal) upland"	11100	"Ravine"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"	"Ravine forest"	20200503122437	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Ravine forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b|Tropical lowland perhumid|110|Inland (non-coastal) upland|11100|Ravine|b2af9d95-4f12-40f3-ae6d-a1e193813a1a|Ravine forest|20200503122437|Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)|West African Ravine forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"36"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"holobiotype"	
