"ecoSpeciesProfilesID"	"ecoSpeciesID"	"lifeZoneID"	"ecoGenusID"	"IUCNL3ID"	"BIOL4ID"	"ecoSpeciesDescription"	"ecoSpeciesBiota"	"ecoSpeciesDistribution"	"ecoSpeciesDistributionRasterName"	"ecoSpeciesDistributionRasterValue"	"RLEStatus"	"RLENotes"	"ecotaxonomicNotes"	"ecoSpeciesProfilesReferenceID"	"ecoSpeciesProfilesReference"	"ecoSpeciesProfilesReferencePage"	"ecoSpeciesProfilesReferenceAuthorID"	"ecoSpeciesProfilesReferenceDate"	"isProtologue"	"ecoSpeciesProfilesReferenceAuthor"
204	20200420092845	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Golder (2013)"		"Golder"	2012-12-31T21:00:00Z	1	"Golder"
205	20200420093826	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"Aussel (2018)"	"31111"	"AusselAlexia"	2018-12-10T21:00:00Z	1	"Aussel, Alexia"
206	20200418143610	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"T1.1"	"BIO-T1.1.2"									"https://doi.org/10.13140/RG.2.2.13242.93129"	"Senterre et al. (2019)"	"35"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	1	"Senterre, Bruno"
207	20200420091605	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"	"T1.1"	"BIO-T1.1.2"									"www.jstor.org/stable/20034533"	"Schnell (1952)"	"365"	"SchnellRaymond"	1951-12-31T20:00:00Z	1	"Schnell, Raymond"
208	20200503122437	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"	"T1.1"	"BIO-T1.1.1"									"https://doi.org/10.13140/RG.2.2.13242.93129"	"Senterre et al. (2019)"	"36"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	1	"Senterre, Bruno"
209	20200503123357	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"											"www.jstor.org/stable/20034533"	"Schnell (1952)"	"366"	"SchnellRaymond"	1951-12-31T20:00:00Z	1	"Schnell, Raymond"
210	20200505071317	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"											"www.jstor.org/stable/20034533"	"Schnell (1952)"	"369"	"SchnellRaymond"	1951-12-31T20:00:00Z	1	"Schnell, Raymond"
211	20200505073922	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"b2af9d95-4f12-40f3-ae6d-a1e193813a1a"												"Astron (2019)"	"5"	"Astron"	2018-12-31T21:00:00Z	1	"Astron"
212	20200505074404	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"	"TF1.1"	"BIO-TF1.1.2"									"https://doi.org/10.13140/RG.2.2.13242.93129"	"Senterre et al. (2019)"	"37"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	1	"Senterre, Bruno"
213	20200505074653	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"											"www.jstor.org/stable/20034533"	"Schnell (1952)"	"363"	"SchnellRaymond"	1951-12-31T20:00:00Z	1	"Schnell, Raymond"
214	20200505075640	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"												"Astron (2019)"	"2"	"Astron"	2018-12-31T21:00:00Z	1	"Astron"
215	20200505080427	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"												"Astron (2019)"	"1"	"Astron"	2018-12-31T21:00:00Z	1	"Astron"
216	20200505085452	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"82357250-99b1-4de1-ab12-dd946412583f"	"TF1.1"	"BIO-TF1.1.3"									"https://doi.org/10.13140/RG.2.2.13242.93129"	"Senterre et al. (2019)"	"37"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	1	"Senterre, Bruno"
