id	identificationID	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	kingdom	taxonRemarks
03a379a7-6031-4e9f-88af-752f50356e9d	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|22|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10060|Inland marsh|5c8820c5-4334-4d40-853c-2e80b9210ded|Freshwater marsh|20200804141814|Open marshes of the wet evergreen littoral rain forest zone (EN)|
03a379a7-6031-4e9f-88af-752f50356e9d	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|30|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10060|Inland marsh|5c8820c5-4334-4d40-853c-2e80b9210ded|Freshwater marsh|20200804142328|West African freshwater marsh of the Tropical lowland superhumid evergreen rainforest zone (EN)|Végétation ouverte marécageuse ouest africaine de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
d1391fb0-ca68-44fe-baa9-e1cc1b6b83c1	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|23|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10080|Inland riparian (seasonally saturated, flushed, floaded)|82357250-99b1-4de1-ab12-dd946412583f|Riparian forest on alluvial soil|20200804142654|Riparian forests of the wet evergreen littoral rain forest zone (EN)|
d1391fb0-ca68-44fe-baa9-e1cc1b6b83c1	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|36|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10080|Inland riparian (seasonally saturated, flushed, floaded)|82357250-99b1-4de1-ab12-dd946412583f|Riparian forest on alluvial soil|20200804143417|West African Riparian forest of the Tropical lowland superhumid evergreen rainforest zone (EN)|Forêt ouest africaine ripicole de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
45e46a92-67dc-476e-b719-c699b97ef23f	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|23|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10020|Inland river|20190823-1648|Inland river|20200804143418|Rivers of the wet evergreen littoral rain forest zone (EN)|
45e46a92-67dc-476e-b719-c699b97ef23f	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|28|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10020|Inland river|20190823-1648|Inland river|20200804144224|West African inland river of the Tropical lowland superhumid evergreen rainforest zone (EN)|Rivière ouest africaine de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
ae899a1a-7b78-4919-82da-3792023f08da	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|19|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|110|Inland (non-coastal) upland|11100|Ravine|b2af9d95-4f12-40f3-ae6d-a1e193813a1a|Ravine forest|20200804135616|Ravine forests of the wet evergreen littoral rain forest zone (EN)|
ae899a1a-7b78-4919-82da-3792023f08da	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|68|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|110|Inland (non-coastal) upland|11100|Ravine|b2af9d95-4f12-40f3-ae6d-a1e193813a1a|Ravine forest|20200804140517|West African Ravine forest of the Tropical lowland superhumid evergreen rainforest zone (EN)|Forêt ouest africaine de ravin de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
185bccb5-ad1a-412d-9ceb-44b51eff8f3a	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|21|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10070|Inland swamp|6fa2e18e-a189-4bf3-8a60-8e267636b292|Freshwater swamps|20200804140707|Swamp forests of the wet evergreen littoral rain forest zone (EN)|
185bccb5-ad1a-412d-9ceb-44b51eff8f3a	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|33|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|100|Inland (non-coastal) wetland (incl. floating vegetation)|10070|Inland swamp|6fa2e18e-a189-4bf3-8a60-8e267636b292|Freshwater swamps|20200804141603|West African Swamp forest of the Tropical lowland superhumid evergreen rainforest zone (EN)|Forêt ouest africaine marécageuse de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
70ad7c4f-cd8d-4c69-b8b4-dde988047c78	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|50|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|110|Inland (non-coastal) upland|11020|Drained (topographically)|87e57609-ab15-4fbd-aae2-99c993a286ec|Overdrained forest|20200804135405|West African Overdrained dwarf forest of the Lowland tropical superhumid wet evergreen rainforest zone (EN)|Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
70ad7c4f-cd8d-4c69-b8b4-dde988047c78	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|16|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|110|Inland (non-coastal) upland|11020|Drained (topographically)|87e57609-ab15-4fbd-aae2-99c993a286ec|Overdrained forest|20200804135358|Dry ridge forests of the wet evergreen littoral rain forest zone (EN)|
16334f9f-458e-4bc7-802a-a0c2d59aaa31	20200804	Senterre, Bruno	2014-6-12 00:00:00	Senterre (2014)|15|https://doi.org/10.13140/RG.2.2.32628.48003	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200804130810|Mesophilous forests of the wet evergreen littoral rain forest zone (EN)|
16334f9f-458e-4bc7-802a-a0c2d59aaa31	20200804	Senterre, Bruno	2020-8-4 00:00:00	Senterre (2020)|40|https://doi.org/10.13140/RG.2.2.17934.89924	holobiotype|	Plantae	20200804085240|Tropical lowland superhumid|110|Inland (non-coastal) upland|11010|Mesic|4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a|Mesic forest|20200804131020|West African mesic forest of the Tropical lowland superhumid evergreen rainforest zone (EN)|Forêt ouest africaine mésique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)
20200813094800	20200813	Senterre, Bruno	2020-8-13 00:00:00		|	Plantae	ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c|Tropical submontane humid|110|Inland (non-coastal) upland|11070|Saxicolous|628e8351-ae36-480d-bc85-12c094c9d813|Saxicolous open vegetation on granitic outcrops|20200811163031|West African Saxicolous open vegetation on granitic outcrop of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)|Prairie ouest africaine saxicole sur inselberg granitique de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)
